Gender,Residence,Study_Level,Faculty,Grad_School,Visiting_Faculty_GradSchool,Affiliation_Program,Weekday_Schedule_Satisfaction,Weekend_Schedule_Satisfaction,Understanding_Routes,UseMore_IfFrequent,App_Helping_Ring,MostValuable_Improvement,Overall_Satisfaction,Open_Comments,Department,Problem_LateBus,Problem_TooCrowded,Problem_LongWait,Problem_NotMyRoute,Problem_RouteConfusing,Problem_HoursMismatch,Problem_NotClean,Problem_DriverBehavior,Freq_Taxi,Freq_Ring,Freq_Walking,Freq_Hitchhiking,Freq_PersonalVehicle,Weekday_Ring_Frequency,Weekend_Ring_Frequency,Avg_Wait_Time,Reason_Free,Reason_No_private_car,Reason_Most_convenient,Reason_Fastest,Reason_Better_for_environment,Reason_Hard_to_find_parking,Purpose_Going_to_A1_Gate,Purpose_Going_to_A2_Gate,Purpose_Going_to_department,Purpose_Going_to_East_Dorms,Purpose_Going_to_West_Dorms,Purpose_Going_to_cafeteria,Purpose_Going_to_library,Purpose_Going_to_sports_facilitie,Route_Brown_A1___A1,Route_Turquoise_West___A2,Route_Orange_West___A2,Route_Yellow_A2___East,Route_Red_East___A2,Route_Navy_Blue_East___East,Route_Purple_A1___A1,TimeWkday_Morning_08:00_11:00,TimeWkday_Midday_11:00_15:00,TimeWkday_Afternoon_15:00_19:00,TimeWkday_Late_19:00_23:00,TimeWkend_Morning_08:00_11:00,TimeWkend_Midday_11:00_15:00,TimeWkend_Afternoon_15:00_19:00,TimeWkend_Late_19:00_23:00,Total_Usage_Score,Problem_Severity_Index,Heavy_User,Residence_Simplified,Route_Count,Purpose_Count,Reason_Count,UseMore_Binary
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,4,2,2.0,Yes,4.0,More frequent buses,3.0,,Statistics,3,5,3,3,2,2,2,1,2,4,4,2,4,2,1,2,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,2.625,0,East_Dorms,2,4,2,1.0
Female,Off-campus (far from campus),Undergraduate (Bachelor’s),Faculty of Engineering,,,,4,1,4.0,Yes,5.0,Better route coverage,3.0,,Food Engineering,2,4,4,4,1,4,2,1,1,5,5,3,1,5,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,6,2.75,1,Off_Campus_Far,3,3,2,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Education,,,,1,1,4.0,Yes,1.0,Better route coverage,1.0,seferlerij artirilmasi ve gece bati yurtlarina giderken bindigimiz ringlerim bolumleri dolasmamasi,Mathematics and Science Education,4,4,5,5,2,4,2,1,1,5,3,4,1,5,3,5,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,8,3.375,1,West_Dorms,5,7,3,1.0
Female,Off-campus (within walking distance),Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,2,1,1.0,Yes,2.0,More frequent buses,3.0,,International Relations,4,3,5,1,1,5,1,1,2,4,4,2,3,3,2,3,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,2.625,1,Off_Campus_Near,1,2,5,1.0
Male,Off-campus (far from campus),Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,2,3,3.0,Yes,2.0,Better real-time tracking,3.0,,International Relations,3,4,5,4,3,2,2,2,2,4,4,3,1,3,0,3,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,3.125,1,Off_Campus_Far,3,5,3,1.0
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,4,3,3.0,Yes,3.0,Extended service hours,4.0,,Industrial Engineering,2,4,3,2,3,3,2,2,2,4,4,1,1,4,3,2,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,7,2.625,1,East_Dorms,1,3,4,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,3,2,4.0,Yes,4.0,Better route coverage,3.0,Kapılardan Batı yurtlarına gün içerisinde her zaman gelecek bir güzergah düzenlemesi yapılabilir ,Molecular Biology and Genetics,2,4,2,4,2,2,3,1,2,3,4,1,1,3,2,3,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,5,2.5,1,West_Dorms,4,3,3,1.0
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,5,2,5.0,Not sure,2.0,Extended service hours,4.0,"Hafta sonları geceye birkaç ring daha eklenmeli, çünkü hafta sonları kampüs dışında olduğumuz zaman daha geç ringlere ihtiyacımız olabiliyor. Metro seferleri bitiminde son ring programlansa çok iyi olur. Bunların dışında güzergâh ve program geçen seneye göre kesinlikle daha iyi. Hafta içi gündüz ringlerini kendim kullanmıyorum ama kullanan arkadaşlarım çok memnun. Araç konforu ya da şoför davranışı ile ilgili sorun yaşamadım, yaşayan da duymadım. Dediğim gibi tek feedbackim son metro seferine uygun son ring seferi koyulması.",Computer Engineering,1,4,3,2,1,3,1,1,2,4,4,2,1,2,3,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,5,2.0,0,East_Dorms,3,3,1,
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,3,3,4.0,Yes,2.0,Better real-time tracking,3.0,,Civil Engineering,3,4,4,4,3,4,2,1,1,3,3,2,1,3,3,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,6,3.125,1,East_Dorms,2,2,2,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Education,,,,2,1,3.0,Yes,4.0,Better route coverage,3.0,,Foreign Languages Education,3,5,4,4,2,3,4,3,2,5,4,3,1,5,3,2,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,8,3.5,1,West_Dorms,3,8,2,1.0
